Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,356,20,T:System.Drawing.SolidBrush,,,,,Using sb As New SolidBrush(mCanvas(sx)(sy).Color)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,356,20,M:System.Drawing.SolidBrush.#ctor(System.Drawing.Color),,,,,Using sb As New SolidBrush(mCanvas(sx)(sy).Color)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,260,12,T:System.Drawing.Graphics,,,,,Me.surfaceGraphics.Clear(Me.BackColor)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,260,12,M:System.Drawing.Graphics.Clear(System.Drawing.Color),,,,,Me.surfaceGraphics.Clear(Me.BackColor)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,259,12,T:System.Drawing.Bitmap,,,,,Me.surfaceGraphics = Graphics.FromImage(mSurface)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,259,12,T:System.Drawing.Graphics,,,,,Me.surfaceGraphics = Graphics.FromImage(mSurface)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,259,12,T:System.Drawing.Graphics,,,,,Me.surfaceGraphics = Graphics.FromImage(mSurface)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,259,12,M:System.Drawing.Graphics.FromImage(System.Drawing.Image),,,,,Me.surfaceGraphics = Graphics.FromImage(mSurface)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,259,12,T:System.Drawing.Graphics,,,,,Me.surfaceGraphics = Graphics.FromImage(mSurface)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,247,12,T:System.Drawing.Bitmap,,,,,"mSurface = New DirectBitmap(mCanvasSize.Width * CharSize.Width, mCanvasSize.Height * CharSize.Height)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,246,43,T:System.Drawing.Bitmap,,,,,mSurface.Dispose()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,246,43,M:System.Drawing.Image.Dispose,,,,,mSurface.Dispose()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,246,12,T:System.Drawing.Bitmap,,,,,If mSurface IsNot Nothing Then mSurface.Dispose()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,x8086NetEmuRenderers\x8086NetEmuRenderers.vbproj,File,x8086NetEmuRenderers\Helpers\Image2Ascii.vb,206,16,T:System.Drawing.Brushes,,,,,"g.DrawString(""█"", mFont, Brushes.White, 0, 0)"
